"Jahr";"Personenverkehr";"Güterverkehr"
2002;102,155347702318;100,889041460304
2003;102,0073200488;105,906900140053
2004;104,412410592541;111,720438310291
2005;104,064684352798;113,449329272586
2006;105,159725378561;122,654609025968
2007;105,509078295816;127,242975064354
2008;106,346625840251;127,98946298774
2009;106,972800995144;114,268126070934
2010;106,905246034974;122,814612038276
2011;108,222280697558;122,855700694004
2012;108,65803889673;120,918656941217
2013;109,486113436835;124,199950120883
2014;111,270004545128;125,703750713956
2015;112,958782862474;128,256077428037
2016;115,276894002823;132,410819269379
2017;110,535894553023;135,467695741302
2018;111,188862043394;135,555223028112
2019;111,96325622563;136,516136383197
2020;88,213764562352;131,093202727507
2021;88,625218285769;137,413581203202
